Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
95.75,-nan
96,-nan
96.25,-nan
96.5,-nan
96.75,-nan
97,-nan
97.25,-nan
97.5,-nan
97.75,-nan
98,0
98.25,0
98.5,-nan
98.75,-nan
99,0
99.25,0
99.5,-nan
99.75,0
100,-nan
100.25,0.999455
100.5,-nan
100.75,-nan
101,-nan
101.25,-nan
101.5,-nan
101.75,-nan
102,-nan
102.25,-nan
102.5,-nan
102.75,-nan
103,-nan
103.25,-nan
103.5,0.999961
103.75,-nan
104,-nan
104.25,-nan
104.5,-nan
104.75,-nan
105,0.999996
105.25,-nan
105.5,-nan
105.75,0.99999
106,-nan
106.25,-nan
106.5,-nan
106.75,0
107,-nan
107.25,0
107.5,-nan
107.75,-nan
108,-nan
108.25,-nan
108.5,-nan
108.75,0.999764
109,-nan
109.25,-nan
109.5,-nan
109.75,-nan
110,0
110.25,-nan
110.5,-nan
110.75,-nan
111,-nan
111.25,-nan
111.5,-nan
111.75,-nan
112,-nan
112.25,-nan
112.5,-nan
112.75,-nan
113,0
113.25,0
113.5,-nan
113.75,-nan
114,-nan
114.25,-nan
114.5,-nan
114.75,-nan
115,-nan
115.25,-nan
115.5,-nan
115.75,-nan
116,-nan
116.25,-nan
116.5,-nan
116.75,-nan
117,-nan
117.25,-nan
117.5,-nan
117.75,-nan
118,-nan
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,-nan
119.5,-nan
119.75,-nan
